id,member_id,applicationType,score,month
487,40,경찰직공무원(남),42,7
488,40,경찰직공무원(남),44,8
489,40,경찰직공무원(남),48,9
490,40,경찰직공무원(남),47,10
491,40,경찰직공무원(남),45,11
492,41,경찰직공무원(남),49,12
493,41,소방직공무원(남),40,1
494,41,소방직공무원(남),46,2
495,41,소방직공무원(남),45,3
496,41,소방직공무원(남),47,4
497,41,소방직공무원(남),46,5
498,41,소방직공무원(남),49,6
499,41,소방직공무원(남),44,7
500,41,소방직공무원(남),45,8
501,41,소방직공무원(남),47,9
502,41,소방직공무원(남),43,10
503,41,소방직공무원(남),50,11
504,42,소방직공무원(남),41,12
505,42,경호직공무원(남),42,1
506,42,경호직공무원(남),40,2
507,42,경호직공무원(남),46,3
508,42,경호직공무원(남),41,4
509,42,경호직공무원(남),46,5
510,42,경호직공무원(남),48,6
511,42,경호직공무원(남),44,7
512,42,경호직공무원(남),41,8
513,42,경호직공무원(남),45,9
514,42,경호직공무원(남),49,10
515,42,경호직공무원(남),42,11
516,43,경호직공무원(남),43,12
517,43,소방직공무원(여),47,1
518,43,소방직공무원(여),44,2
519,43,소방직공무원(여),48,3
520,43,소방직공무원(여),40,4
521,43,소방직공무원(여),47,5
522,43,소방직공무원(여),42,6
523,43,소방직공무원(여),47,7
524,43,소방직공무원(여),47,8
525,43,소방직공무원(여),48,9
526,43,소방직공무원(여),42,10
527,43,소방직공무원(여),50,11
528,44,소방직공무원(여),46,12
529,44,경찰직공무원(남),43,1
530,44,경찰직공무원(남),50,2
531,44,경찰직공무원(남),44,3
532,44,경찰직공무원(남),47,4
533,44,경찰직공무원(남),50,5
534,44,경찰직공무원(남),46,6
535,44,경찰직공무원(남),45,7
536,44,경찰직공무원(남),40,8
537,44,경찰직공무원(남),47,9
538,44,경찰직공무원(남),43,10
539,44,경찰직공무원(남),45,11
540,45,경찰직공무원(남),40,12
541,45,경호직공무원(남),46,1
542,45,경호직공무원(남),42,2
543,45,경호직공무원(남),45,3
544,45,경호직공무원(남),49,4
545,45,경호직공무원(남),43,5
546,45,경호직공무원(남),43,6
547,45,경호직공무원(남),43,7
548,45,경호직공무원(남),48,8
549,45,경호직공무원(남),46,9
550,45,경호직공무원(남),49,10
551,45,경호직공무원(남),41,11
552,46,경호직공무원(남),46,12
553,46,경찰직공무원(여),48,1
554,46,경찰직공무원(여),47,2
555,46,경찰직공무원(여),46,3
556,46,경찰직공무원(여),40,4
557,46,경찰직공무원(여),43,5
558,46,경찰직공무원(여),45,6
559,46,경찰직공무원(여),44,7
560,46,경찰직공무원(여),48,8
561,46,경찰직공무원(여),40,9
562,46,경찰직공무원(여),45,10
563,46,경찰직공무원(여),46,11
564,47,경찰직공무원(여),45,12
565,47,경호직공무원(남),46,1
566,47,경호직공무원(남),45,2
567,47,경호직공무원(남),45,3
568,47,경호직공무원(남),44,4
569,47,경호직공무원(남),43,5
570,47,경호직공무원(남),48,6
571,47,경호직공무원(남),49,7
572,47,경호직공무원(남),50,8
573,47,경호직공무원(남),43,9
574,47,경호직공무원(남),50,10
575,47,경호직공무원(남),45,11
576,48,경호직공무원(남),46,12
577,48,소방직공무원(남),47,1
578,48,소방직공무원(남),41,2
579,48,소방직공무원(남),40,3
580,48,소방직공무원(남),43,4
581,48,소방직공무원(남),44,5
582,48,소방직공무원(남),40,6
583,48,소방직공무원(남),42,7
584,48,소방직공무원(남),44,8
585,48,소방직공무원(남),41,9
586,48,소방직공무원(남),42,10
587,48,소방직공무원(남),44,11
588,49,소방직공무원(남),41,12
589,49,경호직공무원(남),48,1
590,49,경호직공무원(남),47,2
591,49,경호직공무원(남),47,3
592,49,경호직공무원(남),44,4
593,49,경호직공무원(남),41,5
594,49,경호직공무원(남),48,6
595,49,경호직공무원(남),42,7
596,49,경호직공무원(남),44,8
597,49,경호직공무원(남),46,9
598,49,경호직공무원(남),50,10
599,49,경호직공무원(남),45,11
600,50,경호직공무원(남),43,12
601,50,소방직공무원(여),40,1
602,50,소방직공무원(여),47,2
603,50,소방직공무원(여),45,3
604,50,소방직공무원(여),45,4
605,50,소방직공무원(여),42,5
606,50,소방직공무원(여),50,6
607,50,소방직공무원(여),50,7
608,50,소방직공무원(여),46,8
609,50,소방직공무원(여),45,9
610,50,소방직공무원(여),42,10
611,50,소방직공무원(여),41,11
612,51,소방직공무원(여),41,12
613,51,경호직공무원(여),44,1
614,51,경호직공무원(여),44,2
615,51,경호직공무원(여),42,3
616,51,경호직공무원(여),50,4
617,51,경호직공무원(여),48,5
618,51,경호직공무원(여),40,6
619,51,경호직공무원(여),45,7
620,51,경호직공무원(여),43,8
621,51,경호직공무원(여),42,9
622,51,경호직공무원(여),44,10
623,51,경호직공무원(여),42,11
624,52,경호직공무원(여),46,12
625,52,경호직공무원(여),47,1
626,52,경호직공무원(여),48,2
627,52,경호직공무원(여),42,3
628,52,경호직공무원(여),47,4
629,52,경호직공무원(여),50,5
630,52,경호직공무원(여),42,6
631,52,경호직공무원(여),48,7
632,52,경호직공무원(여),46,8
633,52,경호직공무원(여),49,9
634,52,경호직공무원(여),50,10
635,52,경호직공무원(여),48,11
636,53,경호직공무원(여),43,12
637,53,경호직공무원(여),40,1
638,53,경호직공무원(여),49,2
639,53,경호직공무원(여),48,3
640,53,경호직공무원(여),46,4
641,53,경호직공무원(여),47,5
642,53,경호직공무원(여),48,6
643,53,경호직공무원(여),42,7
644,53,경호직공무원(여),45,8
645,53,경호직공무원(여),48,9
646,53,경호직공무원(여),45,10
647,53,경호직공무원(여),40,11
648,54,경호직공무원(여),50,12
649,54,경호직공무원(여),45,1
650,54,경호직공무원(여),49,2
651,54,경호직공무원(여),40,3
652,54,경호직공무원(여),46,4
653,54,경호직공무원(여),47,5
654,54,경호직공무원(여),40,6
655,54,경호직공무원(여),40,7
656,54,경호직공무원(여),50,8
657,54,경호직공무원(여),50,9
658,54,경호직공무원(여),40,10
659,54,경호직공무원(여),45,11
660,55,경호직공무원(여),50,12
661,55,경호직공무원(여),46,1
662,55,경호직공무원(여),48,2
663,55,경호직공무원(여),46,3
664,55,경호직공무원(여),44,4
665,55,경호직공무원(여),43,5
666,55,경호직공무원(여),42,6
667,55,경호직공무원(여),44,7
668,55,경호직공무원(여),43,8
669,55,경호직공무원(여),49,9
670,55,경호직공무원(여),41,10
671,55,경호직공무원(여),40,11
672,56,경호직공무원(여),43,12
673,56,소방직공무원(남),47,1
674,56,소방직공무원(남),49,2
675,56,소방직공무원(남),49,3
676,56,소방직공무원(남),42,4
677,56,소방직공무원(남),46,5
678,56,소방직공무원(남),50,6
679,56,소방직공무원(남),49,7
680,56,소방직공무원(남),46,8
681,56,소방직공무원(남),50,9
682,56,소방직공무원(남),47,10
683,56,소방직공무원(남),47,11
684,57,소방직공무원(남),50,12
685,57,경찰직공무원(남),43,1
686,57,경찰직공무원(남),48,2
687,57,경찰직공무원(남),41,3
688,57,경찰직공무원(남),42,4
689,57,경찰직공무원(남),40,5
690,57,경찰직공무원(남),49,6
691,57,경찰직공무원(남),43,7
692,57,경찰직공무원(남),44,8
693,57,경찰직공무원(남),46,9
694,57,경찰직공무원(남),44,10
695,57,경찰직공무원(남),44,11
696,58,경찰직공무원(남),46,12
697,58,경찰직공무원(남),48,1
698,58,경찰직공무원(남),46,2
699,58,경찰직공무원(남),42,3
700,58,경찰직공무원(남),42,4
701,58,경찰직공무원(남),44,5
702,58,경찰직공무원(남),48,6
703,58,경찰직공무원(남),41,7
704,58,경찰직공무원(남),46,8
705,58,경찰직공무원(남),40,9
706,58,경찰직공무원(남),42,10
707,58,경찰직공무원(남),44,11
708,59,경찰직공무원(남),40,12
709,59,경찰직공무원(여),41,1
710,59,경찰직공무원(여),49,2
711,59,경찰직공무원(여),46,3
712,59,경찰직공무원(여),49,4
713,59,경찰직공무원(여),40,5
714,59,경찰직공무원(여),44,6
715,59,경찰직공무원(여),48,7
716,59,경찰직공무원(여),47,8
717,59,경찰직공무원(여),43,9
718,59,경찰직공무원(여),45,10
719,59,경찰직공무원(여),42,11
720,60,경찰직공무원(여),46,12
721,60,경호직공무원(남),49,1
722,60,경호직공무원(남),46,2
723,60,경호직공무원(남),42,3
724,60,경호직공무원(남),49,4
725,60,경호직공무원(남),46,5
726,60,경호직공무원(남),44,6
727,60,경호직공무원(남),49,7
728,60,경호직공무원(남),44,8
729,60,경호직공무원(남),40,9
730,60,경호직공무원(남),40,10
731,60,경호직공무원(남),47,11
732,61,경호직공무원(남),42,12
733,61,소방직공무원(남),41,1
734,61,소방직공무원(남),43,2
735,61,소방직공무원(남),42,3
736,61,소방직공무원(남),42,4
737,61,소방직공무원(남),47,5
738,61,소방직공무원(남),40,6
739,61,소방직공무원(남),49,7
740,61,소방직공무원(남),48,8
741,61,소방직공무원(남),44,9
742,61,소방직공무원(남),42,10
743,61,소방직공무원(남),46,11
744,62,소방직공무원(남),50,12
745,62,경호직공무원(여),48,1
746,62,경호직공무원(여),50,2
747,62,경호직공무원(여),42,3
748,62,경호직공무원(여),49,4
749,62,경호직공무원(여),50,5
750,62,경호직공무원(여),43,6
751,62,경호직공무원(여),47,7
752,62,경호직공무원(여),42,8
753,62,경호직공무원(여),40,9
754,62,경호직공무원(여),48,10
755,62,경호직공무원(여),41,11
756,63,경호직공무원(여),47,12
757,63,경호직공무원(여),46,1
758,63,경호직공무원(여),40,2
759,63,경호직공무원(여),47,3
760,63,경호직공무원(여),45,4
761,63,경호직공무원(여),40,5
762,63,경호직공무원(여),42,6
763,63,경호직공무원(여),50,7
764,63,경호직공무원(여),45,8
765,63,경호직공무원(여),46,9
766,63,경호직공무원(여),47,10
767,63,경호직공무원(여),47,11
768,64,경호직공무원(여),48,12
769,64,경호직공무원(남),44,1
770,64,경호직공무원(남),47,2
771,64,경호직공무원(남),41,3
772,64,경호직공무원(남),40,4
773,64,경호직공무원(남),44,5
774,64,경호직공무원(남),44,6
775,64,경호직공무원(남),40,7
776,64,경호직공무원(남),46,8
777,64,경호직공무원(남),46,9
778,64,경호직공무원(남),43,10
779,64,경호직공무원(남),46,11
780,65,경호직공무원(남),48,12
781,65,경호직공무원(여),44,1
782,65,경호직공무원(여),40,2
783,65,경호직공무원(여),41,3
784,65,경호직공무원(여),46,4
785,65,경호직공무원(여),49,5
786,65,경호직공무원(여),48,6
787,65,경호직공무원(여),47,7
788,65,경호직공무원(여),48,8
789,65,경호직공무원(여),49,9
790,65,경호직공무원(여),50,10
791,65,경호직공무원(여),50,11
792,66,경호직공무원(여),49,12
793,66,소방직공무원(여),45,1
794,66,소방직공무원(여),48,2
795,66,소방직공무원(여),47,3
796,66,소방직공무원(여),44,4
797,66,소방직공무원(여),40,5
798,66,소방직공무원(여),47,6
799,66,소방직공무원(여),44,7
800,66,소방직공무원(여),42,8
801,66,소방직공무원(여),42,9
802,66,소방직공무원(여),46,10
803,66,소방직공무원(여),48,11
804,67,소방직공무원(여),45,12
805,67,소방직공무원(남),45,1
806,67,소방직공무원(남),44,2
807,67,소방직공무원(남),43,3
808,67,소방직공무원(남),50,4
